"blockcode","maxdown","num_providers"
"310019654001000",25,1
"310019654001001",100,2
"310019654001002",4,1
"310019654001005",25,1
"310019654001006",50,1
"310019654001008",100,1
"310019654001009",100,1
"310019654001010",100,1
"310019654001012",12,1
"310019654001013",15,1
"310019654001016",1000,2
"310019654001017",15,1
"310019654001018",100,1
"310019654001019",100,1
"310019654001021",100,1
"310019654001023",75,1
"310019654001024",100,1
"310019654001030",100,1
"310019654001032",100,1
"310019654001033",1.5,1
"310019654001035",4,1
"310019654001036",100,1
"310019654001041",12,1
"310019654001042",10,1
"310019654001043",100,1
"310019654001044",4,1
"310019654001048",100,1
"310019654001057",100,1
"310019654001058",940,1
"310019654001060",12,1
"310019654001062",20,1
"310019654001066",1.5,1
"310019654001067",25,1
"310019654001070",1000,2
"310019654001071",940,1
"310019654001073",25,1
"310019654001076",1.5,1
"310019654001077",100,1
"310019654001080",100,1
"310019654001081",1000,1
"310019654001082",1000,1
"310019654001083",25,1
"310019654001084",1000,1
"310019654001085",1000,1
"310019654001087",100,1
"310019654001089",25,1
"310019654001090",1000,1
"310019654001091",25,1
"310019654001092",25,1
"310019654001093",12,1
"310019654001096",1000,2
"310019654001097",1000,2
"310019654001099",15,1
"310019654001108",100,1
"310019654001111",25,1
"310019654001112",25,1
"310019654001122",1.5,1
"310019654001126",25,1
"310019654001127",1000,1
"310019654001132",1000,3
"310019654001133",940,1
"310019654001134",940,2
"310019654001135",940,1
"310019654001136",15,1
"310019654001138",1000,1
"310019654001143",940,1
"310019654001144",940,1
"310019654001145",940,1
"310019654001146",940,1
"310019654001147",940,1
"310019654001148",940,1
"310019654001150",1000,3
"310019654001151",940,2
"310019654001152",940,1
"310019654001153",1000,3
"310019654001154",940,2
"310019654001155",1000,3
"310019654001156",1000,3
"310019654001157",940,1
"310019654001158",1000,3
"310019654001159",940,1
"310019654001160",1000,3
"310019654001161",1000,2
"310019654001162",940,1
"310019654001163",940,2
"310019654001164",1000,3
"310019654001165",1000,3
"310019654001166",1000,3
"310019654001167",940,1
"310019654001168",1000,3
"310019654001169",940,1
"310019654001170",1000,2
"310019654001172",1000,3
"310019654001173",1000,3
"310019654001174",1000,3
"310019654001177",100,1
"310019654001178",1.5,1
"310019654001180",940,1
"310019654001181",940,2
"310019654001182",940,1
"310019654001183",940,1
"310019654001184",100,1
"310019654001185",100,1
"310019654001186",100,1
"310019654001187",100,1
"310019654001189",50,1
"310019654002000",100,1
"310019654002006",100,1
"310019654002007",100,1
"310019654002011",100,1
"310019654002017",100,1
"310019654002018",100,1
"310019654002030",5,1
"310019654002031",5,1
"310019654002037",5,1
"310019654002039",4,1
"310019654002045",100,1
"310019654002046",100,1
"310019654002047",100,1
"310019654002050",100,1
"310019654002052",100,1
"310019654002055",100,1
"310019654002057",100,1
"310019654002058",100,1
"310019654002069",100,1
"310019654002071",100,1
"310019654002076",1.5,1
"310019654002078",4,1
"310019654002079",4,1
"310019654002081",1.5,1
"310019654002088",200,1
"310019654002090",100,1
"310019654002092",4,1
"310019654002094",4,1
"310019654002095",4,1
"310019654002096",12,1
"310019654002097",4,1
"310019654002098",4,1
"310019654002099",1.5,1
"310019654002100",5,1
"310019654002108",1.5,1
"310019654002109",10,1
"310019654002110",50,1
"310019654002111",50,1
"310019654002112",940,2
"310019654002114",940,2
"310019654002115",15,1
"310019654002116",12,1
"310019654002117",25,1
"310019654002118",6,1
"310019654002119",15,1
"310019654002122",940,2
"310019654002124",940,2
"310019654002125",940,2
"310019654002126",940,2
"310019654002127",940,2
"310019654002128",940,2
"310019654002129",940,2
"310019654002130",940,2
"310019654002131",940,3
"310019654002132",940,2
"310019654002133",100,1
"310019654002134",940,2
"310019654002135",940,2
"310019654002136",940,2
"310019654002137",100,1
"310019654002138",940,2
"310019654002139",12,1
"310019654002140",940,2
"310019654002143",100,1
"310019654002145",4,1
"310019654002146",1.5,1
"310019654002153",940,3
"310019654002154",940,2
"310019654002155",940,2
"310019654002156",940,2
"310019654002157",25,1
"310019654002158",250,1
"310019654002159",940,3
"310019654002160",940,3
"310019654002161",940,2
"310019654002162",940,3
"310019654002163",940,3
"310019654002164",940,3
"310019654002165",940,3
"310019654002166",940,3
"310019654002167",940,2
"310019654002168",940,2
"310019654002169",940,2
"310019654002170",940,2
"310019654002171",940,3
"310019654002172",100,1
"310019654002173",940,3
"310019654002174",250,1
"310019654002175",940,3
"310019654002176",250,1
"310019654002178",100,1
"310019654002179",940,2
"310019654002180",940,2
"310019654002181",940,2
"310019654002182",940,2
"310019654002183",940,2
"310019654002184",940,2
"310019654002185",100,1
"310019654002186",200,1
"310019654002187",940,2
"310019654002188",940,3
"310019654002189",940,2
"310019654002190",940,3
"310019654002191",1000,4
"310019654002192",250,1
"310019654002194",250,2
"310019654002195",940,2
"310019654002196",940,3
"310019654002197",940,2
"310019654002198",940,3
"310019654002199",250,1
"310019654002200",25,1
"310019654002201",100,1
"310019654002202",940,2
"310019654002203",940,3
"310019654002204",250,2
"310019654002205",940,3
"310019654002206",940,2
"310019654002208",940,2
"310019654002209",940,2
"310019654002213",250,1
"310019654002214",940,3
"310019654002215",940,3
"310019654002216",25,1
"310019654002218",940,2
"310019654002219",250,1
"310019654002220",250,1
"310019654002223",250,1
"310019654002225",250,1
"310019654002229",250,2
"310019654002231",10,1
"310019654002232",4,1
"310019654002245",250,1
"310019654002247",4,1
"310019654002248",4,1
"310019654002249",4,1
"310019654002255",15,1
"310019654002268",4,1
"310019654002269",12,1
"310019654002271",12,1
"310019654002272",4,1
"310019654002284",15,1
"310019654002285",50,1
"310019654002286",100,1
"310019654002289",4,1
"310019654002290",250,1
"310019654002291",250,2
"310019654002294",250,1
"310019654002295",250,2
"310019654002296",4,1
"310019654002297",250,2
"310019654002298",250,1
"310019654002299",250,2
"310019654002300",250,1
"310019654002301",250,2
"310019654002302",250,1
"310019654002304",250,1
"310019654002305",250,1
"310019654002306",250,1
"310019654002307",250,1
"310019654002308",250,1
"310019654002309",250,1
"310019654002310",250,2
"310019654002311",250,1
"310019654002312",250,2
"310019654002313",1.5,1
"310019654002314",250,1
"310019654002315",250,1
"310019654002316",4,1
"310019654002317",15,1
"310019654002319",250,1
"310019654002320",250,2
"310019654002322",250,1
"310019654002323",250,1
"310019654002324",250,1
"310019654002327",250,1
"310019654002328",250,1
"310019654002329",940,2
"310019654002330",940,3
"310019654002331",940,3
"310019654002332",250,1
"310019654003000",3,1
"310019654003003",1.5,1
"310019654003004",4,1
"310019654003006",4,1
"310019654003007",940,3
"310019654003009",940,3
"310019654003010",940,3
"310019654003012",940,2
"310019654003013",940,2
"310019654003014",940,2
"310019654003015",940,2
"310019654003016",940,2
"310019654003017",940,2
"310019654003018",940,2
"310019654003019",940,2
"310019654003020",940,2
"310019654003021",940,3
"310019654003022",940,3
"310019654003023",940,2
"310019654003024",250,2
"310019654003025",940,3
"310019654003026",940,1
"310019654003027",940,2
"310019654003028",940,3
"310019654003029",940,2
"310019654003030",940,1
"310019654003031",940,2
"310019654003032",940,2
"310019654003033",940,2
"310019654003034",940,2
"310019654003035",940,2
"310019654003036",940,2
"310019654003037",940,2
"310019654003038",940,2
"310019654003039",940,2
"310019654003040",940,2
"310019654003041",940,2
"310019654003042",940,2
"310019654003043",940,2
"310019654003044",940,2
"310019654003045",940,2
"310019654003046",940,2
"310019654003047",940,1
"310019654003048",940,2
"310019654003049",940,1
"310019654003050",940,2
"310019654003051",940,2
"310019654003052",250,1
"310019654003053",940,2
"310019654003054",940,3
"310019654003055",250,2
"310019654003056",250,2
"310019654003057",250,1
"310019654003058",940,2
"310019654003059",940,2
"310019654003060",940,2
"310019654003061",940,2
"310019654003062",940,2
"310019654003063",940,2
"310019654003064",940,2
"310019654003065",940,2
"310019654003066",940,2
"310019654003067",940,2
"310019654003068",940,2
"310019654003069",940,2
"310019654003070",50,1
"310019654003071",940,2
"310019654003072",940,2
"310019654003073",940,2
"310019654003074",940,2
"310019654003075",940,2
"310019654003076",940,2
"310019654003077",940,2
"310019654003078",940,2
"310019654003079",940,2
"310019654003080",940,2
"310019654003081",940,2
"310019654003082",940,2
"310019654003084",940,2
"310019654003085",940,1
"310019654003086",940,1
"310019654003087",940,1
"310019654003088",250,2
"310019654003089",250,2
"310019654003090",940,2
"310019654003091",940,1
"310019654003092",940,3
"310019654003093",940,2
"310019654003094",940,2
"310019654003095",940,2
"310019654003096",940,2
"310019654003097",940,2
"310019654003098",940,2
"310019654003099",940,2
"310019654003100",940,2
"310019654003101",940,2
"310019654003102",940,2
"310019654003103",940,2
"310019654003104",940,1
"310019654003105",940,2
"310019654003106",940,3
"310019654003107",940,2
"310019654003108",250,2
"310019654003109",250,2
"310019654003110",940,2
"310019654003111",940,2
"310019654003112",940,2
"310019654003113",940,2
"310019654003114",940,1
"310019654003115",940,2
"310019654003116",940,2
"310019654003117",940,2
"310019654003118",940,2
"310019654003119",940,2
"310019654003120",940,2
"310019654003121",940,2
"310019654003122",940,1
"310019654003123",940,1
"310019655001002",1000,2
"310019655001003",1000,2
"310019655001004",940,1
"310019655001005",940,1
"310019655001006",940,1
"310019655001007",940,1
"310019655001008",1000,2
"310019655001009",940,1
"310019655001010",1000,3
"310019655001011",940,2
"310019655001012",940,2
"310019655001013",1000,3
"310019655001014",1000,3
"310019655001015",1000,3
"310019655001016",940,1
"310019655001017",940,1
"310019655001018",1.5,1
"310019655001022",940,2
"310019655001023",940,1
"310019655001024",1000,3
"310019655001025",1000,3
"310019655001026",940,2
"310019655001027",1000,3
"310019655001028",1000,3
"310019655001029",1000,3
"310019655001030",1000,3
